timestamp;vehicle_gps_position.lat;vehicle_gps_position.lon;vehicle_gps_position.alt;vehicle_gps_position.eph;vehicle_gps_position.epv;vehicle_gps_position.hdop;vehicle_gps_position.vdop;vehicle_gps_position.noise_per_ms;vehicle_gps_position.satellites_used;vehicle_air_data.baro_alt_meter;vehicle_local_position.dist_bottom;vehicle_local_position.z
262379757;473064637;388901526;82722;1.005;1.21;0.69;0.84999996;99;18;115.13115;2.8378568;-0.3337098
262479781;473064637;388901526;82722;1.005;1.21;0.69;0.84999996;99;18;115.13115;2.8474813;-0.3433343
262579771;473064637;388901526;82722;1.005;1.21;0.69;0.84999996;99;18;114.98318;2.8576295;-0.35348246
262679791;473064692;388901527;82819;1.0070001;1.212;0.69;0.84999996;99;18;114.98318;2.8681705;-0.36402348
262779707;473064692;388901527;82819;1.0070001;1.212;0.69;0.84999996;99;18;115.32139;2.8799272;-0.37578017
262879837;473064692;388901527;82819;1.0070001;1.212;0.69;0.84999996;99;18;115.32139;2.892179;-0.3880319
262979808;473064692;388901527;82819;1.0070001;1.212;0.69;0.84999996;99;18;115.11001;2.9058716;-0.40172464
263079680;473064692;388901527;82819;1.0070001;1.212;0.69;0.84999996;99;18;115.11001;2.9211397;-0.41699257
263179840;473064729;388901522;82883;1.0090001;1.213;0.69;0.84999996;99;18;115.46937;2.9380257;-0.43387875
263279643;473064729;388901522;82883;1.0090001;1.213;0.69;0.84999996;99;18;115.46937;2.955192;-0.45104492
263379607;473064729;388901522;82883;1.0090001;1.213;0.69;0.84999996;99;18;115.51164;2.9738576;-0.46971056
263479587;473064729;388901522;82883;1.0090001;1.213;0.69;0.84999996;99;18;115.51164;2.993431;-0.48928416
263579776;473064729;388901522;82883;1.0090001;1.213;0.69;0.84999996;99;18;115.405945;3.0127084;-0.50856143
263679512;473064779;388901516;82995;1.0120001;1.213;0.69;0.84999996;99;18;115.405945;3.030243;-0.5260959
263779545;473064779;388901516;82995;1.0120001;1.213;0.69;0.84999996;99;18;115.46937;3.0460339;-0.54188675
263879710;473064779;388901516;82995;1.0120001;1.213;0.69;0.84999996;99;18;115.46937;3.0597806;-0.5556335
263979459;473064779;388901516;82995;1.0120001;1.213;0.69;0.84999996;99;18;115.46937;3.0750265;-0.57087946
264079507;473064779;388901516;82995;1.0120001;1.213;0.69;0.84999996;99;18;115.46937;3.086715;-0.5825679
264179655;473064812;388901510;83024;1.014;1.2140001;0.69;0.84999996;99;18;115.5962;3.0970428;-0.5928958
264279494;473064812;388901510;83024;1.014;1.2140001;0.69;0.84999996;99;18;115.5962;3.1042569;-0.6001099
